environment,N,action_dim,epsilon,median_D_G,median_kappa_env,median_kappa_model,median_D_kappa,median_E_kappa,fraction_kappa_model_gt_env,median_top1_angle_deg,fraction_top1_angle_le_10deg,fraction_top1_angle_le_30deg,median_effective_rank_env,median_effective_rank_model,median_D_scale,pearson_kappa,spearman_kappa
Reacher,500,2,0.001,0.25598081186202315,1.8637982278447076,4.440207600609998,0.8543866967749418,0.9555783319808819,0.886,4.405378725537441,0.634,0.808,1.9096913994243367,1.6114454545914874,2.592439568500034,-0.0061917974843281025,0.3716560786243145
Cube,500,5,0.001,0.5848591332953559,3000.552514772224,10563.200382423674,0.5633172159034894,2.960993260481134,0.542,55.22340110109913,0.042,0.212,1.9591908718955953,2.3549046860452165,1.158772028876935,0.2198864960788331,0.18335334141336565
