epsilon,N,D_G_median,D_G_CI95,top1_angle_median_deg,top1_angle_CI95_deg,top2_subspace_max_median_deg,top2_subspace_mean_median_deg,erank_env_median,erank_model_median,kappa_env_median,kappa_model_median,D_kappa_median,frac_kappa_model_gt_env,D_scale_median
0.001,500,0.5848591332953559,"[0.5648596982640746, 0.6157817721304505]",55.22340110109913,"[50.48705106178072, 58.60244128375735]",42.70850052937736,24.975500224701,1.9591908718955953,2.3549046860452165,3000.552514772224,10563.200382423674,0.5633172159034894,0.542,1.158772028876935
0.003,500,0.540932668678318,"[0.5141863038583953, 0.5627615800780679]",48.59449320128804,"[44.739177528494, 54.072741088251945]",39.59748719041863,22.914820257446138,2.002388263972274,2.3549046860452165,2690.782679249998,10563.200382423674,0.35930260122003066,0.532,0.6768315638610363
0.01,500,0.4897068349655792,"[0.4603088886456247, 0.5127204602116298]",45.8657847558902,"[40.18553213406213, 50.22618377839417]",35.94967109940783,20.379318028968335,2.0220547889055966,2.3549046860452165,3360.407453575718,10563.200382423674,0.24273150593472126,0.522,0.6945188681004133
