metric,epsilon_a,epsilon_b,N,spearman,pearson,median_abs_difference,median_signed_difference_b_minus_a
D_G,0.001,0.003,500,0.5883385453541814,0.6045570215645761,0.13090013905392534,-0.04005048856747695
D_G,0.001,0.01,500,0.48665330661322653,0.4953410907907626,0.14606102117034428,-0.07877532892728617
D_G,0.003,0.01,500,0.6539478957915832,0.6826923216349599,0.11704844512030763,-0.04897165171117712
top1_angle_deg,0.001,0.003,500,0.3709594998379993,0.36513932339615146,15.670313949584859,-3.2856701526687235
top1_angle_deg,0.001,0.01,500,0.2863494653978616,0.2855169613522,18.0988932133667,-5.089234167888328
top1_angle_deg,0.003,0.01,500,0.5009119556478226,0.5059725692955819,14.048444600664064,-2.333151808965587
subspace2_angle_max_deg,0.001,0.003,500,0.4041521126084504,0.4005413410288622,14.123744454139391,-3.2820466777483563
subspace2_angle_max_deg,0.001,0.01,500,0.21664320257281025,0.19931058043493938,16.319021059019235,-4.991920851373651
subspace2_angle_max_deg,0.003,0.01,500,0.35130207720830886,0.3356392389589907,12.155289815200817,-1.4890641166118002
effective_rank_env,0.001,0.003,500,0.516688562754251,0.5256990681873448,0.29004070128157355,0.05384461482310454
effective_rank_env,0.001,0.01,500,0.49218782475129896,0.5012480727491069,0.3219228156903463,0.10230433340340783
effective_rank_env,0.003,0.01,500,0.6248954915819663,0.6384794995768485,0.2448840557531593,0.04820542137482531
